prices,market_caps,total_volumes,date
36096.611491861295,1305060188.489328,291696641.8129381,2021-04-01 02:00:00
36754.33100905562,1329573786.8685086,298753086.57277036,2021-04-02 02:00:00
39344.73196025493,1423436411.6774833,396002129.4085626,2021-04-03 02:00:00
35911.46695624134,1299293553.7175257,303652655.8311385,2021-04-04 02:00:00
37739.22741739595,1363886902.1024914,258791983.91193298,2021-04-05 02:00:00
38649.07038243674,1394643871.826565,312506345.5837454,2021-04-06 02:00:00
41788.88185992535,1507286936.3576849,602002927.9149673,2021-04-07 02:00:00
44261.826320943845,1591028393.1812835,628476047.2410369,2021-04-08 02:00:00
47334.34700325824,1716781481.2089753,706618739.6867797,2021-04-09 02:00:00
45810.23452966821,1654263914.7777815,448988704.14470124,2021-04-10 02:00:00
44776.545049886496,1619475394.7126086,374819150.4685885,2021-04-11 02:00:00
45207.61343344598,1631464379.423722,372801697.38582104,2021-04-12 02:00:00
43171.511997225905,1557229260.455598,422438816.81983167,2021-04-13 02:00:00
45001.29703211675,1621806028.5692344,453694842.32449824,2021-04-14 02:00:00
47230.61359179492,1706712321.7545834,557555143.9172044,2021-04-15 02:00:00
50414.51278022504,1814995465.1208882,838062098.4335918,2021-04-16 02:00:00
53070.08324051708,1909951154.2111526,651471815.1809158,2021-04-17 02:00:00
49190.78536130941,1779123047.4457111,566412313.2826482,2021-04-18 02:00:00
53228.602440330375,1938839411.5325372,984301546.7097487,2021-04-19 02:00:00
47014.204014332005,1703687962.5142324,985167506.9938195,2021-04-20 02:00:00
48876.349946939044,1768988916.898156,853981993.6573237,2021-04-21 02:00:00
45660.586206262866,1661331121.0980244,535222762.6004351,2021-04-22 02:00:00
45677.1869174677,1662811566.501278,708631618.4514614,2021-04-23 02:00:00
43291.509542955355,1561109087.790456,764045445.4505446,2021-04-24 02:00:00
39100.15856223629,1427596933.7359369,345370308.3309664,2021-04-25 02:00:00
39778.966143137965,1432996619.2946668,324939343.93884695,2021-04-26 02:00:00
45328.30893852002,1634598866.596463,445746786.40888685,2021-04-27 02:00:00
48378.79537134901,1748473948.522545,499052745.5961605,2021-04-28 02:00:00
