gvkey,fqtr,fyearq,datadate,tic,atq,dlcq,piq,tcorq
007647,3,2020,2020/09/30,BAC,2738452.0000,208630.0000,4546.0000,21691.0000
007647,4,2020,2020/12/31,BAC,2819627.0000,209996.0000,6119.0000,21275.0000
007647,1,2021,2021/03/31,BAC,2969992.0000,221167.0000,9166.0000,24019.0000
007647,2,2021,2021/06/30,BAC,3029894.0000,235422.0000,8042.0000,22620.0000
007647,3,2021,2021/09/30,BAC,3085446.0000,227706.0000,8950.0000,24008.0000
007647,4,2021,2021/12/31,BAC,3169495.0000,227987.0000,7818.0000,23182.0000
007647,1,2022,2022/03/31,BAC,3238223.0000,239474.0000,7879.0000,24550.0000
007982,1,2020,2020/03/31,NTRS,161709.2000,10360.6000,461.1000,1708.8000
007982,2,2020,2020/06/30,NTRS,151432.9000,8229.1000,403.2000,1540.2000
007982,3,2020,2020/09/30,NTRS,152082.0000,8245.2000,389.9000,1511.9000
007982,4,2020,2020/12/31,NTRS,170003.9000,4811.3000,373.4000,1540.6000
007982,1,2021,2021/03/31,NTRS,163924.1000,5524.2000,495.9000,1593.2000
007982,2,2021,2021/06/30,NTRS,172291.1000,5669.9000,486.5000,1587.8000
007982,3,2021,2021/09/30,NTRS,169085.7000,6191.2000,518.1000,1638.7000
007982,4,2021,2021/12/31,NTRS,183889.8000,4615.7000,509.6000,1668.9000
007982,1,2022,2022/03/31,NTRS,172565.0000,3851.0000,510.8000,1721.2000
008007,1,2020,2020/03/31,WFC,1981349.0000,92289.0000,1120.0000,22752.0000
008007,2,2020,2020/06/30,WFC,1968766.0000,60485.0000,-5799.0000,19462.0000
008007,3,2020,2020/09/30,WFC,1922220.0000,55224.0000,3318.0000,19835.0000
008007,4,2020,2020/12/31,WFC,1955163.0000,90276.0000,3866.0000,18640.0000
008007,1,2021,2021/03/31,WFC,1959543.0000,58920.0000,5591.0000,19227.0000
008007,2,2021,2021/06/30,WFC,1945996.0000,45635.0000,8189.0000,18467.0000
008007,3,2021,2021/09/30,WFC,1954901.0000,41980.0000,6926.0000,18607.0000
008007,4,2021,2021/12/31,WFC,1948068.0000,50180.0000,8110.0000,19126.0000
008007,1,2022,2022/03/31,WFC,1939709.0000,33601.0000,4509.0000,17974.0000
008007,2,2022,2022/06/30,WFC,1881142.0000,37075.0000,3565.0000,18858.0000
008245,1,2020,2020/03/31,PNC,445493.0000,35486.0000,879.0000,4843.0000
008245,2,2020,2020/06/30,PNC,458978.0000,12822.0000,-902.0000,4364.0000
008245,3,2020,2020/09/30,PNC,461817.0000,8806.0000,1698.0000,4441.0000
008245,4,2020,2020/12/31,PNC,466679.0000,6521.0000,1754.0000,4309.0000
008245,1,2021,2021/03/31,PNC,474414.0000,4650.0000,2197.0000,4330.0000
008245,2,2021,2021/06/30,PNC,554212.0000,3285.0000,1315.0000,4777.0000
008245,3,2021,2021/09/30,PNC,553515.0000,3404.0000,1813.0000,5301.0000
008245,4,2021,2021/12/31,PNC,557191.0000,3127.0000,1663.0000,5226.0000
008245,1,2022,2022/03/31,PNC,541246.0000,3599.0000,1728.0000,4806.0000
008245,2,2022,2022/06/30,PNC,540786.0000,14139.0000,1836.0000,5346.0000
009061,1,2020,2020/03/31,HBC2,205077.0000,17579.0000,-1440.0000,1426.0000
009061,2,2020,2020/06/30,HBC2,212862.0000,6102.0000,56.0000,1351.0000
009061,3,2020,2020/09/30,HBC2,200946.0000,5515.0000,224.0000,1108.0000
009061,4,2020,2020/12/31,HBC2,196434.0000,11432.0000,178.0000,1085.0000
009061,1,2021,2021/03/31,HBC2,194856.0000,5243.0000,460.0000,1056.0000
009061,2,2021,2021/06/30,HBC2,194888.0000,3806.0000,254.0000,962.0000
009061,3,2021,2021/09/30,HBC2,201150.0000,6377.0000,177.0000,896.0000
009061,4,2021,2021/12/31,HBC2,189232.0000,9268.0000,21.0000,925.0000
009061,1,2022,2022/03/31,HBC2,177016.0000,6790.0000,266.0000,1078.0000
009783,1,2020,2020/03/31,KEY,156197.0000,7050.0000,168.0000,1728.0000
009783,2,2020,2020/06/30,KEY,171192.0000,1983.0000,215.0000,1882.0000
