",",.,..,Time,Uniswap Protocol Revenue,Uniswap Supply-Side Revenue,V2 # Swaps,V2 Agg Fees,V2 Agg Markets,V2 Agg Volume,V2 Fees,V2 Liquidity,V2 New Markets,V2 Protocol Revenue,V2 Supply-Side Revenue,V2 Volume,V3 # Swaps,V3 0.01% Fee,V3 0.01% Liq,V3 0.01% New Markets,V3 0.01% Vol,V3 0.05% Fee,V3 0.05% Liq,V3 0.05% New Markets,V3 0.05% Vol,V3 0.30% Fee,V3 0.30% Liq,V3 0.30% New Markets,V3 0.30% Vol,V3 1.00% Fee,V3 1.00% Liq,V3 1.00% New Markets,V3 1.00% Vol,V3 Agg Fees,V3 Agg Markets,V3 Agg Volume,V3 Fees,V3 Liquidity,V3 New Markets,V3 Protocol Revenue,V3 Supply-Side Revenue,V3 Volume
|,|,|,2022-01-17T00:00:00+00:00,0,4311888.8000950115,51990,145411666.62200138,61411,48470555540.66712,1240929.4098945584,3402810874.3962355,51,0,1240929.4098945584,413643136.6315195,35559,13177.060223825194,115442855.94140853,0,131770602.23825194,485846.55156560155,877692567.7351816,1,971693103.131203,1118666.6822269363,1233320522.518339,4,372888894.07564545,1453269.09618409,270627543.7026294,5,145326909.618409,280962037.57444763,5600,156660078679.90024,3070959.390200453,2497083489.897558,10,0,3070959.390200453,1621679509.0635095
|,|,|,2022-01-16T00:00:00+00:00,0,3250051.3240890168,50573,144170737.21210682,61360,48056912404.03561,947576.3875197588,3395043058.83114,32,0,947576.3875197588,315858795.83991957,26749,7501.693804233455,115868881.08313227,0,75016938.04233456,298937.0956400989,914167595.587319,0,597874191.2801979,902298.5687435449,1271180918.3088295,2,300766189.5811816,1093737.5783813805,270409090.5131239,7,109373757.83813806,277891078.1842472,5590,155038399170.83673,2302474.9365692576,2571626485.492405,9,0,2302474.9365692576,1083031076.741852
|,|,|,2022-01-15T00:00:00+00:00,0,2766774.246266575,52063,143223160.82458705,61328,47741053608.19569,930161.1790200846,3378741864.3236895,47,0,930161.1790200846,310053726.34002817,25394,11904.380530696924,115674181.2223137,0,119043805.30696926,288336.10213927255,909048485.0976623,0,576672204.278545,740053.9975171123,1252138601.5832496,2,246684665.83903745,796318.5870594088,239429084.9573955,1,79631858.70594089,275588603.2476779,5581,153955368094.09488,1836613.0672464906,2516290352.860621,3,0,1836613.0672464906,1022032534.1304927
|,|,|,2022-01-14T00:00:00+00:00,0,3802937.246507861,60901,142292999.64556697,61281,47430999881.85565,1248221.6221355575,3339309977.338938,29,0,1248221.6221355575,416073874.0451858,26367,8505.656845206277,115789761.94943747,0,85056568.45206276,441629.6784984826,882099764.5434127,0,883259356.9969652,979313.0829645722,1218961437.8874416,4,326437694.3215241,1125267.2060640426,249304486.12103963,2,112526720.60640427,273751990.1804314,5578,152933335559.9644,2554715.624372304,2466155450.5013313,6,0,2554715.624372304,1407280340.3769562
|,|,|,2022-01-13T00:00:00+00:00,0,4541123.647141912,50870,141044778.02343142,61252,47014926007.81047,1294486.1014578834,3426947861.5672946,46,0,1294486.1014578834,431495367.1526278,31920,10308.279935781946,116039864.49024406,1,103082799.35781947,639549.3299472135,844061490.5021056,0,1279098659.894427,1006601.5300967122,1237678885.6458025,2,335533843.3655707,1590178.4057043209,239980444.1517202,4,159017840.5704321,271197274.5560591,5572,151526055219.58743,3246637.5456840284,2437760684.789872,7,0,3246637.5456840284,1876733143.1882493
|,|,|,2022-01-12T00:00:00+00:00,0,5046442.4142916165,55361,139750291.92197353,61206,46583430640.657845,1378852.0435897158,3312080945.060414,43,0,1378852.0435897158,459617347.8632386,36607,14864.65965064777,118025547.34834832,0,148646596.5064777,465640.0726707249,901920253.100268,0,931280145.3414497,904214.7086071342,1228905867.933756,3,301404902.8690447,2282870.929773394,232894560.3834236,3,228287092.9773394,267950637.0103751,5565,149649322076.39917,3667590.3707019007,2481746228.765796,6,0,3667590.3707019007,1609618737.6943116
|,|,|,2022-01-11T00:00:00+00:00,0,4827995.388870952,60204,138371439.87838382,61163,46123813292.7946,1310589.502189264,3223859886.2523437,44,0,1310589.502189264,436863167.3964213,36581,21121.869541947115,290366481.5494843,0,211218695.41947117,450262.21420323616,858315827.5881046,1,900524428.4064722,877786.6627787766,1136063840.1414084,3,292595554.2595922,2168235.140157728,224103149.06115884,5,216823514.0157728,264283046.6396732,5559,148039703338.70486,3517405.886681688,2508849298.340156,9,0,3517405.886681688,1621162192.1013083
|,|,|,2022-01-10T00:00:00+00:00,0,6608868.9617571095,56472,137060850.37619454,61119,45686950125.39818,1400699.5292960291,3244276570.204034,32,0,1400699.5292960291,466899843.0986764,49682,22411.002846707353,287249447.9115115,0,224110028.46707353,753265.9561666261,784398039.5968275,1,1506531912.3332522,1224636.5536184392,1106437297.9540887,3,408212184.53947973,3207855.919829308,232686497.99204832,1,320785591.9829308,260765640.75299153,5550,146418541146.60355,5208169.43246108,2410771283.454476,5,0,5208169.43246108,2459639717.3227363
|,|,|,2022-01-09T00:00:00+00:00,0,2800232.1326128487,43390,135660150.84689853,61087,45220050282.29951,857660.5137986173,3198397900.5615635,27,0,857660.5137986173,285886837.9328724,23142,10713.0720832426,290283672.5365196,0,107130720.832426,363821.50874668313,806856934.0504842,0,727643017.4933662,703680.3180824223,1106844367.0993392,3,234560106.02747408,864356.7199018835,221208739.0210626,1,86435671.99018835,255557471.32053044,5545,143958901429.28082,1942571.6188142314,2425193712.7074056,4,0,1942571.6188142314,1155769516.3434548
|,|,|,2022-01-08T00:00:00+00:00,0,4182604.4222338097,57968,134802490.3330999,61060,44934163444.36663,1275769.4762427292,3265609027.890759,37,0,1275769.4762427292,425256492.0809097,32121,22782.807268671233,290912270.13558,0,227828072.68671232,631777.9943366965,785128752.4428236,0,1263555988.673393,1124088.9258639128,1106339242.4624424,3,374696308.6213043,1128185.2185218,228971951.6992316,1,112818521.85218,253614899.7017162,5541,142803131912.93738,2906834.9459910807,2411352216.7400775,4,0,2906834.9459910807,1978898891.8335896
|,|,|,2022-01-07T00:00:00+00:00,0,6096538.772472323,61264,133526720.85685717,61023,44508906952.28572,1884814.7290900783,3413431614.8742285,33,0,1884814.7290900783,628271576.3633593,38421,22956.41159556078,286500632.4334685,0,229564115.95560783,674273.9445658542,776975294.8046037,0,1348547889.1317084,1971028.4133583864,1183590379.4744499,0,657009471.1194621,1543465.273862443,239210835.17774603,6,154346527.3862443,250708064.75572512,5537,140824233021.1038,4211724.043382244,2486277141.8902683,6,0,4211724.043382244,2389468003.5930223
|,|,|,2022-01-06T00:00:00+00:00,0,5331492.791953364,64715,131641906.12776709,60990,43880635375.92236,1594571.563819714,3524210861.0122247,37,0,1594571.563819714,531523854.60657126,37100,25360.78929658743,289165152.7140322,0,253607892.96587428,478329.3160808853,760000913.9649925,0,956658632.1617706,1662379.8842364792,1263796353.7946372,4,554126628.0788264,1570851.2385196988,241854629.8126948,2,157085123.8519699,246496340.7123429,5531,138434765017.51074,3736921.2281336505,2554817050.286357,6,0,3736921.2281336505,1921478277.0584412
|,|,|,2022-01-05T00:00:00+00:00,0,6236400.153256831,72600,130047334.56394738,60953,43349111521.315796,2046437.6256781886,3717880238.6268435,45,0,2046437.6256781886,682145875.2260629,38430,21742.202521079245,288553329.70937735,1,217422025.21079245,572790.7566684523,757277617.7208796,0,1145581513.3369045,1798864.303290068,1376051804.7869194,5,599621434.4300227,1796565.2650990428,260896177.52496374,3,179656526.50990427,242759419.48420924,5525,136513286740.45232,4189962.527578642,2682778929.74214,9,0,4189962.527578642,2142281499.487624
|,|,|,2022-01-04T00:00:00+00:00,0,4159500.654168958,67079,128000896.93826918,60908,42666965646.08973,1350840.9084788645,3710529625.548858,48,0,1350840.9084788645,450280302.82628816,31888,13567.354056404454,290289802.03451425,0,135673540.56404454,494414.9781547801,779756749.5966117,0,988829956.3095602,952796.2142244588,1423452742.24215,4,317598738.07481956,1347881.1992544502,264578080.97873747,2,134788119.92544502,238569456.9566306,5516,134371005240.96469,2808659.7456900934,2758077374.8520136,6,0,2808659.7456900934,1576890354.8738694
|,|,|,2022-01-03T00:00:00+00:00,0,3988598.454196957,67706,126650056.02979033,60860,42216685343.26344,1360078.2272578601,3755830294.901121,65,0,1360078.2272578601,453359409.08595335,36312,10153.265633977084,291440839.95444655,0,101532656.33977084,361407.84344462946,777075793.220309,0,722815686.8892589,843191.5508391429,1430869196.9853466,2,281063850.2797143,1413767.5670213476,263006795.98695755,8,141376756.70213476,235760797.21094048,5510,132794114886.09082,2628520.226939097,2762392626.1470594,10,0,2628520.226939097,1246788950.2108788
|,|,|,2022-01-02T00:00:00+00:00,0,3190896.0005003726,68428,125289977.80253246,60795,41763325934.17749,1068620.3811025277,3731574992.8605914,63,0,1068620.3811025277,356206793.70084256,34261,10294.348701158602,294361513.76581925,1,102943487.01158601,299294.1252992917,788821149.4675375,1,598588250.5985835,685962.8991886384,1424940644.5127926,4,228654299.72954613,1126724.2462087562,265302387.8110633,5,112672424.62087561,233132276.9840014,5500,131547325935.87994,2122275.6193978447,2773425695.5572124,11,0,2122275.6193978447,1042858461.9605912
|,|,|,2022-01-01T00:00:00+00:00,0,3216389.6858641086,66527,124221357.42142993,60732,41407119140.47665,1147874.0448674217,3657145542.855385,44,0,1147874.0448674217,382624681.62247396,31651,10689.794661961394,292796577.99074364,1,106897946.61961395,293172.2709423616,752939411.4133574,0,586344541.8847233,754894.6261173678,1356032805.2889183,4,251631542.03912258,1009758.9492749958,257095524.8493607,12,100975894.92749958,231010001.36460355,5489,130504467473.91936,2068515.6409966866,2658864319.54238,17,0,2068515.6409966866,1045849925.4709594
|,|,|,2021-12-31T00:00:00+00:00,0,4169428.84574908,78602,123073483.37656252,60688,41024494458.85417,1477050.8855837733,3655723478.3402677,44,0,1477050.8855837733,492350295.19459105,38248,11692.615409908134,294345309.63227063,0,116926154.09908134,367613.0716534139,736575116.2080115,0,735226143.3068277,1168934.54603253,1366157875.1455498,10,389644848.67750996,1144137.727069455,247481929.1546239,4,114413772.70694551,228941485.72360685,5472,129458617548.4484,2692377.960165307,2644560230.1404557,14,0,2692377.960165307,1356210918.7903645
|,|,|,2021-12-30T00:00:00+00:00,0,3854037.6882221783,65982,121596432.49097875,60644,40532144163.659584,1271698.7769140608,3582835137.2097054,64,0,1271698.7769140608,423899592.3046869,35580,9344.153683505127,295314160.76106447,0,93441536.83505127,360501.2696520505,742992433.444668,1,721002539.3041011,1080160.79592853,1330797995.02832,3,360053598.6428433,1132332.692044032,243205055.41750067,2,113233269.2044032,226249107.76344156,5458,128102406629.65802,2582338.9113081177,2612309644.651553,6,0,2582338.9113081177,1287730943.986399
|,|,|,2021-12-29T00:00:00+00:00,0,4658894.896789725,74787,120324733.71406469,60580,40108244571.3549,1352067.297860216,3670271915.762102,72,0,1352067.297860216,450689099.28673863,52459,16859.25743119713,294535954.52826756,1,168592574.3119713,386422.8803386552,765927166.7508104,0,772845760.6773103,1053222.2964689808,1357896323.288752,6,351074098.82299364,1850323.1646906757,251746924.95027548,5,185032316.46906757,223666768.85213345,5452,126814675685.67163,3306827.598929509,2670106369.5181055,12,0,3306827.598929509,1477544750.281343
|,|,|,2021-12-28T00:00:00+00:00,0,5170820.968483402,72520,118972666.41620447,60508,39657555472.06815,1325583.5163315525,3884235550.5624065,58,0,1325583.5163315525,441861172.1105175,41766,18319.388312106003,295843084.9837615,0,183193883.12106,688273.9017320607,802744594.0412053,1,1376547803.4641213,1434046.7959677118,1459962036.5559971,4,478015598.655904,1704597.3661399714,272454245.8640825,7,170459736.61399716,220359941.25320393,5440,125337130935.39029,3845237.4521518503,2831003961.4450464,12,0,3845237.4521518503,2208217021.8550825
